index;age;sex;1;2
1;19;m;3;2
2;18;m;3;1
3;22;m;4;2
4;24;f;5;1
5;22;f;4;1
6;23;f;4;5
7;24;m;3;4
8;46;m;4;4
9;25;m;5;3
10;25;f;3;3
11;24;m;2;1
12;22;f;1;5
13;27;f;1;2
14;19;f;1;4
15;18;f;2;2
16;18;m;3;1
17;19;m;3;3
18;26;f;2;2
19;24;m;3;5
20;61;f;4;4
21;29;f;2;2
22;22;f;2;3
23;21;m;1;3
24;24;m;1;1
25;26;f;2;1
26;22;f;3;3
27;27;m;5;2
28;29;m;3;1
29;31;f;2;1
30;32;f;1;5
31;36;m;3;4
32;19;m;5;4
33;18;m;3;3
34;18;m;2;3
35;25;f;3;4
36;28;m;2;2
37;24;f;3;1
38;52;m;1;4
39;19;m;1;4
40;27;m;3;4
41;28;f;3;4
42;24;m;2;4
43;26;f;1;5
44;19;m;2;4
45;18;m;2;4
46;43;f;1;5
47;22;f;3;3
48;44;f;2;4
49;55;m;2;3
50;19;m;1;3
51;23;f;2;4
52;24;m;3;3
53;24;f;5;4
54;22;m;4;4
55;22;f;3;3
56;26;f;4;4
57;26;m;3;5
58;28;f;3;4
59;21;m;4;4
60;22;f;5;5
61;23;f;4;3
62;22;m;4;3
63;21;m;3;4
64;22;f;1;3
65;23;m;2;3
66;22;f;2;4
67;21;f;2;4
68;28;f;1;3
69;28;f;2;4
70;18;m;3;3
71;25;f;5;1
72;28;m;4;1
73;24;f;3;3
74;52;m;4;2
75;21;m;3;1
76;28;f;3;1
77;28;f;4;5
78;18;f;5;4
79;19;m;4;4
80;18;m;3;3
81;43;f;3;3
82;22;m;1;4
83;44;f;2;2
84;55;m;3;1
85;19;f;3;4
86;23;f;4;4
87;27;m;5;5
88;29;f;4;4
89;31;m;3;4
90;32;f;1;5
91;36;f;2;3
92;19;f;3;3
93;18;m;2;4
94;18;m;1;3
95;25;f;4;3
96;22;m;4;4
97;24;m;5;4
