index;age;sex;no. people in houshold;Frame;1;2;3;4;5;6;7;8;9;10;11;12
1;19;m;4;0;1;1;2;4;2;4;5;5;5;3;1;18750
2;18;m;4;0;2;1;4;3;4;3;4;4;4;4;2;18000
3;22;m;5;0;4;3;4;4;2;3;4;3;4;5;1;19000
4;24;f;5;0;3;4;4;4;5;3;4;4;4;4;1;18250
5;22;f;6;0;2;3;2;4;4;4;4;4;5;4;5;17625
6;23;f;3;0;4;2;1;5;5;5;5;4;4;3;4;17375
7;24;m;2;0;3;4;3;3;4;5;5;5;3;4;4;17750
8;46;m;3;0;3;3;4;4;4;3;4;5;3;5;3;17000
9;25;m;3;0;1;1;2;4;4;5;5;5;5;3;3;14600
10;25;f;6;0;3;2;1;5;3;5;5;5;5;2;1;15000
11;24;m;8;0;1;1;2;4;1;3;4;4;4;1;5;15250
12;22;f;1;0;2;1;4;5;5;4;4;5;5;1;2;15025
13;27;f;5;0;2;2;3;4;5;2;4;3;2;1;4;13950
14;19;f;5;0;1;2;1;4;2;4;5;5;5;2;2;17500
15;18;f;3;0;4;3;4;4;2;2;2;2;2;3;1;25250
16;18;m;4;0;3;4;4;4;5;3;3;4;4;3;3;22750
17;19;m;6;0;1;1;2;4;4;4;4;5;5;2;2;22750
18;26;f;2;0;4;3;4;4;4;4;4;4;4;3;5;25000
19;24;m;2;0;4;2;1;5;5;5;5;5;5;4;4;22750
20;61;f;6;0;3;4;3;3;4;4;4;3;4;2;2;16250
21;29;f;5;0;1;1;2;4;2;4;4;3;4;2;3;14700
22;22;f;7;0;2;1;4;3;4;3;3;3;3;1;3;15750
23;21;m;1;0;3;2;1;5;3;4;5;5;5;1;1;15500
24;24;m;1;0;1;1;2;4;1;4;4;4;4;2;1;16375
25;26;f;2;0;3;4;4;4;5;3;4;4;4;3;3;16000
26;22;f;1;0;2;1;4;3;4;3;3;4;4;5;2;18525
27;27;m;1;0;4;3;4;4;2;4;4;4;4;3;1;16625
28;29;m;2;0;3;4;4;4;5;3;4;4;4;2;1;16875
29;31;f;3;0;2;3;2;4;4;4;4;5;5;1;5;15875
30;32;f;5;0;4;2;1;5;5;4;4;5;5;3;4;18500
31;36;m;2;0;3;4;3;3;4;4;3;5;5;5;4;17125
32;19;m;3;0;3;3;4;4;4;2;2;2;2;3;3;17125
33;18;m;6;1;1;1;2;4;4;4;4;5;5;2;3;17100
34;18;m;4;1;3;2;1;5;3;2;4;3;2;3;4;16675
35;25;f;2;1;1;2;1;4;2;4;5;5;5;2;2;17750
36;28;m;2;1;4;3;4;4;2;2;2;2;2;3;1;16350
37;24;f;3;1;3;4;4;4;5;3;3;4;4;1;4;16025
38;52;m;6;1;1;2;1;5;2;4;4;5;5;1;4;17000
39;19;m;5;1;1;2;1;4;2;4;4;5;5;3;4;14000
40;27;m;4;1;2;2;2;4;2;4;4;4;4;3;4;13000
41;28;f;1;1;2;3;2;4;1;5;5;5;5;2;4;17500
42;24;m;1;1;3;2;3;4;2;4;4;3;4;1;5;17125
43;26;f;1;1;4;3;1;2;5;4;4;3;4;2;4;16625
44;19;m;6;1;3;4;3;3;4;3;3;3;3;2;4;15750
45;18;m;1;1;3;3;4;4;4;4;5;5;5;1;5;15250
46;43;f;4;1;1;1;2;3;2;4;4;4;4;3;3;14600
47;22;f;2;1;1;2;2;4;3;3;4;4;4;2;4;15000
48;44;f;4;1;2;2;2;4;2;3;3;4;4;2;3;15250
49;55;m;5;1;1;2;2;3;2;3;4;5;5;1;3;15025
50;19;m;3;1;2;3;3;4;1;3;4;4;4;2;4;13950
51;23;f;5;1;1;2;3;3;2;4;4;3;4;3;3;17500
52;24;m;2;1;3;1;4;4;3;3;3;3;3;5;4;14000
53;24;f;2;1;3;2;2;5;3;4;5;5;5;4;4;22750
54;22;m;1;1;3;3;2;3;1;4;4;4;4;3;3;20000
55;22;f;1;1;3;3;4;4;2;3;4;4;4;4;4;25000
56;26;f;2;1;3;2;3;3;3;3;3;4;4;3;5;22750
57;26;m;2;1;4;3;1;2;5;3;4;5;5;3;4;15000
58;28;f;3;1;3;4;3;3;4;3;4;4;4;4;4;14700
59;21;m;4;1;3;3;4;4;4;2;2;2;2;5;5;15750
60;22;f;6;1;1;1;2;3;2;4;5;5;5;4;3;15500
61;23;f;4;1;1;2;2;4;3;4;4;5;5;4;3;16375
62;22;m;5;1;1;2;2;4;3;4;5;5;5;3;4;16000
63;21;m;2;1;2;2;2;4;2;4;4;4;4;1;3;17025
64;22;f;4;1;1;2;2;3;2;3;4;4;4;2;3;16625
65;23;m;2;1;2;3;3;4;1;3;4;4;4;2;4;16625
66;22;f;3;1;3;2;2;5;3;3;4;5;5;2;4;15875
67;21;f;2;1;3;3;2;3;1;3;4;4;4;1;3;18500
68;28;f;1;1;3;3;4;4;4;2;2;4;2;2;4;17125
69;28;f;5;1;3;2;3;3;3;4;5;5;5;3;3;17125
70;18;m;5;2;3;2;1;5;3;4;4;5;5;5;1;19750
71;25;f;4;2;1;1;2;4;1;3;4;4;4;4;1;21000
72;28;m;1;2;3;4;4;4;5;3;3;3;3;3;3;20000
73;24;f;1;2;2;1;4;3;4;3;3;3;3;4;2;21250
74;52;m;1;2;4;3;4;4;2;4;5;5;5;3;1;18500
75;21;m;6;2;3;4;4;4;5;4;4;4;4;3;1;17500
76;28;f;1;2;2;3;2;4;4;3;4;4;4;4;5;19250
77;28;f;4;2;4;2;1;5;5;3;3;4;4;5;4;22500
78;18;f;2;2;3;4;3;3;4;3;4;5;5;4;4;21000
79;19;m;4;2;3;3;4;4;4;3;4;4;4;3;3;21250
80;18;m;5;2;1;1;2;4;4;2;2;2;2;3;3;19000
81;43;f;3;2;3;2;1;5;3;4;5;5;5;1;4;21000
82;22;m;5;2;1;2;1;4;2;4;4;5;5;2;2;18500
83;44;f;2;2;4;3;4;4;2;4;5;5;5;3;1;20750
84;55;m;2;2;3;4;4;4;5;4;4;4;4;3;4;19000
85;19;f;1;2;1;2;1;5;2;3;4;4;4;4;4;16750
86;23;f;1;2;1;2;1;4;2;3;4;4;4;5;5;17250
87;27;m;2;2;4;3;1;2;5;3;4;5;5;4;4;19000
88;29;f;1;2;3;4;3;3;4;3;4;4;4;3;4;21250
89;31;m;1;2;3;3;4;4;4;3;3;3;3;1;5;20750
90;32;f;5;2;1;1;2;3;2;4;4;5;5;2;3;22500
91;36;f;5;2;1;2;2;4;3;5;4;5;5;3;3;19750
92;19;f;3;2;1;2;2;4;3;4;5;5;5;2;4;19500
93;18;m;4;2;2;2;2;4;2;4;4;5;5;1;3;21000
94;18;m;6;2;1;2;2;3;2;3;4;4;4;4;3;19250
95;25;f;2;2;2;3;3;4;1;3;3;3;3;4;4;20500
96;22;m;2;2;3;2;2;5;3;3;3;3;3;5;4;19000
97;24;m;1;2;3;3;2;3;1;4;4;4;5;4;4;18500
