index;Frame;Too Cheap;Cheap;Expensive;Too Expensive
38;2;12000;15000;18000;25000
39;2;14500;16000;22000;28000
40;2;11000;20000;25000;29000
41;2;12000;18000;24000;28000
42;2;12500;16000;24000;32000
43;2;11000;15000;26000;33000
44;2;13000;18000;25000;35000
45;2;11000;15000;26000;32000
46;2;12000;15000;20000;28000
47;2;12000;16000;25000;31000
48;2;14000;18000;25000;29000
49;2;13000;17000;24000;28000
50;2;13500;18000;26000;31000
51;2;14500;21000;24000;32000
52;2;13000;18000;26000;31000
53;2;15000;20000;25000;28000
54;2;16000;22000;26000;30000
55;2;11000;15000;26000;30000
56;2;13000;16000;25000;30000
57;2;11000;15000;26000;32000
58;2;12000;15000;24000;30000
59;2;12000;16000;25000;31000
60;2;13000;16000;25000;35000
61;2;11000;15000;26000;28000
62;2;12000;15000;24000;29000
63;2;12000;16000;25000;28000
64;2;14000;18000;23000;28000
65;2;13000;17000;24000;30000
66;2;13500;18000;26000;31000
67;2;14500;21000;24000;28000
68;2;13500;18000;26000;29000
69;2;14500;21000;24000;31000
