index;Frame;Too Cheap;Cheap;Expensive;Too Expensive
1;1;16000;16000;18000;25000
2;1;11000;18000;17000;26000
3;1;16000;17000;19000;24000
4;1;14000;16000;18000;25000
5;1;14000;16000;18500;22000
6;1;12000;15000;17500;25000
7;1;12000;15000;16000;28000
8;1;10000;14000;15000;29000
9;1;11000;14000;15400;18000
10;1;12500;14000;15500;18000
11;1;11500;14000;15500;20000
12;1;12500;13000;15600;19000
13;1;11000;13000;14800;17000
14;1;16000;17000;18000;19000
15;1;22000;23000;26000;30000
16;1;14000;24000;25000;28000
17;1;16000;21000;25000;29000
18;1;22000;24000;26000;28000
19;1;20000;22000;24000;25000
20;1;10000;14000;16000;25000
21;1;12000;13000;14800;19000
22;1;14000;15000;16000;18000
23;1;13000;14000;16000;19000
24;1;12500;15000;16000;22000
25;1;13000;14000;18000;19000
26;1;13000;15500;17600;28000
27;1;12000;15000;14500;25000
28;1;12000;15000;18500;22000
29;1;11000;14000;15500;23000
30;1;16000;17000;19000;22000
31;1;15500;16000;18000;19000
32;1;12500;15000;19000;22000
33;1;13800;15000;16600;23000
34;1;14000;15000;16700;21000
35;1;13000;15000;17000;26000
36;1;14000;15000;16400;20000
37;1;13600;15000;16500;19000
